s_m,d_m,unit_id,pqi_star,esal_1e4,precip_mm,temp_range_c,low_temp_days,density_transverse,density_longitudinal,density_alligator,density_pothole,intensity_mean,intensity_std,intensity_low_prop
0.0,-1.5,0,94.0,1.20,536,11.8,148,0.00,0.02,0.00,0.00,0.78,0.06,0.08
0.5,-1.5,0,92.5,1.20,536,11.8,148,0.05,0.01,0.00,0.00,0.74,0.07,0.10
1.0,-1.5,0,88.0,1.20,536,11.8,148,0.00,0.00,0.12,0.00,0.62,0.10,0.18
1.5,-1.5,0,83.0,1.20,536,11.8,148,0.00,0.00,0.18,0.02,0.58,0.12,0.22
2.0,-1.5,0,96.5,1.20,536,11.8,148,0.00,0.00,0.00,0.00,0.82,0.04,0.04
0.0,-1.0,0,91.0,1.20,536,11.8,148,0.02,0.04,0.00,0.00,0.73,0.08,0.12
0.5,-1.0,0,89.5,1.20,536,11.8,148,0.00,0.05,0.04,0.00,0.69,0.09,0.15
1.0,-1.0,0,85.0,1.20,536,11.8,148,0.00,0.00,0.16,0.01,0.61,0.12,0.20
1.5,-1.0,0,87.0,1.20,536,11.8,148,0.01,0.00,0.08,0.00,0.66,0.10,0.16
2.0,-1.0,0,95.5,1.20,536,11.8,148,0.00,0.00,0.00,0.00,0.81,0.04,0.05

